Chain OUTPUT (policy ACCEPT 865322 packets, 1014203658 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  241567 185302516 OUT        all  --  *      db0zb-db0taw  0.0.0.0/0            0.0.0.0/0           
   94749 110694020            all  --  *      db0zb-db0uc  0.0.0.0/0            0.0.0.0/0           
    5383 10754117            all  --  *      db0zb-db0yq  0.0.0.0/0            0.0.0.0/0           
   18288 40719689            all  --  *      db0zb-db0jgk  0.0.0.0/0            0.0.0.0/0           
   62110 94920095            all  --  *      db0zb-db0hhb  0.0.0.0/0            0.0.0.0/0           
   39529 51149958            all  --  *      db0zb-db0hbg  0.0.0.0/0            0.0.0.0/0           
    8302 19371064            all  --  *      db0zb-db0hof  0.0.0.0/0            0.0.0.0/0           
   34706 85138333            all  --  *      db0zb-db0bt  0.0.0.0/0            0.0.0.0/0           
   26273 69113030            all  --  *      db0zb-db0zw  0.0.0.0/0            0.0.0.0/0           
   31026 82658471            all  --  *      db0zb-db0mak  0.0.0.0/0            0.0.0.0/0           
   45825 86954477            all  --  *      db0zb-db0vox  0.0.0.0/0            0.0.0.0/0           
