Chain INPUT (policy ACCEPT 536094 packets, 71513195 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  151415 12156564 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   46060  2977995            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
   19734  1055990            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   19648  1136444            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   40953  2680339            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   52718  3277923            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
   18961  1006772            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   15841   944704            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
    6249   378376            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
   21798  1155308            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   42507  2623814            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
