Chain OUTPUT (policy ACCEPT 625319 packets, 932273841 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  157871 105738766 OUT        all  --  *      db0zb-db0taw  0.0.0.0/0            0.0.0.0/0           
   53976 95675469            all  --  *      db0zb-db0uc  0.0.0.0/0            0.0.0.0/0           
   12971 33659975            all  --  *      db0zb-db0yq  0.0.0.0/0            0.0.0.0/0           
   31433 75596349            all  --  *      db0zb-db0jgk  0.0.0.0/0            0.0.0.0/0           
   63181 141485854            all  --  *      db0zb-db0hhb  0.0.0.0/0            0.0.0.0/0           
   56497 114036880            all  --  *      db0zb-db0hbg  0.0.0.0/0            0.0.0.0/0           
   16701 43780862            all  --  *      db0zb-db0hof  0.0.0.0/0            0.0.0.0/0           
   29765 72817960            all  --  *      db0zb-db0bt  0.0.0.0/0            0.0.0.0/0           
   19449 52332865            all  --  *      db0zb-db0zw  0.0.0.0/0            0.0.0.0/0           
   10366 26581049            all  --  *      db0zb-db0mak  0.0.0.0/0            0.0.0.0/0           
   50315 119544277            all  --  *      db0zb-db0vox  0.0.0.0/0            0.0.0.0/0           
